category,code,content,description,
재무회계 (FI) 및 관리회계 (CO),F5 101,전기 기간이 열려 있지 않습니다.,회사 코드에 할당된 전기 기간 변형을 확인하고 현재 전기 기간이 거래에 대해 열려 있는지 확인하십시오. SPRO → 재무회계 → 재무회계 글로벌 설정 → 전기 → 전기 기간 → 전기 기간 열기 변형 정의로 이동하여 필요에 따라 조정하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 292,회사 코드 &이 정의되어 있지 않습니다.,"입력된 회사 코드가 시스템에 존재하는지 확인하십시오. 존재하지 않는 경우, 거래 코드 OX02를 통하거나 엔터프라이즈 구조 정의를 위한 SPRO 경로를 통해 생성하십시오.",
재무회계 (FI) 및 관리회계 (CO),F5 000,회사 코드 &에 계정 &이 존재하지 않습니다.,"지정된 회사 코드에 대해 계정과목표에 G/L 계정이 존재하는지 확인하십시오. 누락된 경우, 거래 FS00 또는 적절한 마스터 데이터 거래를 사용하여 G/L 계정을 생성하거나 확장하십시오.",
재무회계 (FI) 및 관리회계 (CO),F5 003,문서에 항목이 없습니다.,회계 문서에 라인 항목이 포함되어 있는지 확인하십시오. 최소한 하나의 차변 또는 대변 라인이 필요합니다. 전기하기 전에 누락된 라인 항목을 검토하고 문서에 추가하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 061,거래 통화 &의 잔액은 0이어야 합니다.,"거래 통화에서 잔액이 0이어야 하는 거래의 경우, 차변 및 대변 금액이 정확히 상쇄되는지 확인하십시오. 전기 전에 불균형을 수정하십시오.",
재무회계 (FI) 및 관리회계 (CO),F5A 106,회사 코드 &에 대해 정리 계정이 지정되지 않았습니다.,이 오류를 피하려면 회사 코드 설정(SPRO 경로: 재무회계 → 채권 및 채무 → 고객 또는 공급업체 계정 → 통제)에서 적절한 정리 계정을 할당하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 190,세금 코드 &이 유효하지 않습니다.,사용된 세금 코드가 주어진 거래 및 국가에 대해 존재하고 유효한지 확인하십시오. 거래 FTXP에서 필요한 세금 코드를 유지 관리하거나 생성하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 102,G/L 계정 &에 대해 전기 기간 &이 열려 있지 않습니다.,회사 코드 및 G/L 계정에 대한 전기 기간 변형 설정을 확인하십시오. 지정된 전기 기간이 이 G/L 계정에 대해 열려 있어야 합니다. 거래 OB52 또는 SPRO → 재무회계 → 전기 기간 → 전기 기간 열기/닫기를 통해 조정하십시오.,
재무회계 (FI) 및 관리회계 (CO),KI 235,코스트 센터 &이 존재하지 않습니다.,"코스트 센터가 시스템에 존재하고 활성화되어 있는지 확인하십시오. 존재하지 않는 경우, 거래 KS01을 사용하여 생성하거나 거래에서 올바른 코스트 센터가 할당되었는지 확인하십시오.",
재무회계 (FI) 및 관리회계 (CO),KI 280,계정 &은 CO 대상 할당이 필요합니다.,"관리회계 영역 객체 할당이 필요한 계정의 경우, 코스트 센터, 내부 오더 또는 WBS 요소와 같은 적절한 객체가 입력되었는지 확인하십시오. 그에 따라 계정 마스터 데이터 또는 전기 데이터를 검토하십시오.",
재무회계 (FI) 및 관리회계 (CO),AA 325,회사 코드 &에 자산 & &이 없습니다.,고정 자산 마스터 레코드가 지정된 회사 코드에 할당되었는지 확인하십시오. 자산을 회사 코드에 할당하거나 적절하게 자산 마스터 레코드를 생성하십시오.,
재무회계 (FI) 및 관리회계 (CO),FI 311,공급업체 &이 전기용으로 차단되었습니다.,공급업체 마스터 데이터(거래 FK02 또는 XK02)에서 결제 또는 전기 차단 지표를 확인하십시오. 전기가 필요한 경우 차단을 제거하거나 조정하십시오.,
재무회계 (FI) 및 관리회계 (CO),FI 315,고객 &이 전기용으로 차단되었습니다.,전기 차단 플래그에 대해 고객 마스터 데이터(거래 FD02 또는 XD02)를 검토하십시오. 비즈니스 요구사항에 따라 필요시 차단을 해제하십시오.,
재무회계 (FI) 및 관리회계 (CO),F4 000,G/L 계정 &에 트랜잭션 &이 허용되지 않습니다.,"G/L 계정 마스터 데이터 설정, 특히 거래 제어(거래 FS00)를 검토하십시오. 거래 유형 또는 이동이 이 계정에 허용되는지 확인하십시오.",
재무회계 (FI) 및 관리회계 (CO),F4 100,계정 유형 &에 대한 항목 카테고리가 없습니다.,항목 카테고리가 시스템 구성에서 계정 유형에 올바르게 할당되었는지 확인하십시오. 거래 OBYC를 사용하거나 시나리오와 관련된 가격 책정/항목 카테고리 구성을 참조하여 누락된 매핑을 할당하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 350,회사 코드 &에 문서 유형 &이 정의되어 있지 않습니다.,문서 유형이 SPRO의 재무회계 → 재무회계 글로벌 설정 → 문서 → 문서 유형 → 문서 유형 정의 아래에 관련 회사 코드에 할당 및 구성되었는지 확인하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 401,계정 &에 대해 상계 항목이 없습니다.,모든 라인 항목에 해당 상계 항목이 있는지 확인하기 위해 회계 문서를 확인하십시오. 누락된 전기를 수정하거나 해당되는 경우 자동 상계를 구성하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 450,회사 코드 &이 잠겨 있습니다.,연말 결산 또는 관리 잠금으로 인해 회사 코드가 차단되었는지 확인하십시오. 거래 OX02를 통해 잠금을 해제하거나 재무 컨트롤러와 협의하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 500,전기 키 &이 정의되어 있지 않습니다.,전기 키가 존재하고 재무회계 사용자 정의에서 거래 유형에 대해 올바르게 구성되었는지 확인하십시오: 재무회계 → 재무회계 글로벌 설정 → 문서 → 라인 항목 → 전기 키 정의.,
재무회계 (FI) 및 관리회계 (CO),F5 555,G/L 계정 &이 전기용으로 차단되었습니다.,G/L 계정 마스터 데이터(거래 FS00)를 검토하여 계정이 전기를 차단하도록 설정되어 있는지 확인하십시오. 적절한 경우 차단을 제거하거나 대체 계정을 사용하십시오.,
재무회계 (FI) 및 관리회계 (CO),F5 702,필드 &은 G/L 계정 &에 대한 필수 필드입니다.,G/L 계정 마스터 데이터 설정 또는 거래 요구사항에 따라 필수 필드를 채우십시오. 거래 FS00에서 G/L 계정 구성을 확인하고 전기 시 모든 필수 필드가 유지 관리되는지 확인하십시오.,
재무회계 (FI) 및 관리회계 (CO),FAGL_POST_SERVICE 004,잔액 발생 원장이 결정되지 않았습니다.,"원장이 회사 코드에 올바르게 할당되었는지, 그리고 문서가 잔액을 보유하는 원장으로 전기되었는지 확인하십시오. 재무회계 → 총계정원장 회계 → 원장 → 원장 및 원장 그룹 정의 아래 사용자 정의에서 원장 할당을 조정하십시오.",
재무회계 (FI) 및 관리회계 (CO),GLT0 001,통화 &의 잔액이 잘못되었습니다.,외화 및 병행 통화 잔액의 불일치를 검토하십시오. 통화 차이를 조정하고 필요한 경우 RFUMSV00 또는 RFUMSV10 프로그램을 실행하여 수정하십시오.,
재무회계 (FI) 및 관리회계 (CO),AA 190,감가상각 영역 &이 존재하지 않습니다.,"감가상각 영역이 자산 회계(거래 AO90)에 존재하고 자산 마스터, 자산 클래스 및 감가상각 영역 구성에 올바르게 할당되었는지 확인하십시오.",
재무회계 (FI) 및 관리회계 (CO),AA 421,감가상각 영역 &에 대해 취득 가치가 올바르지 않습니다.,취득 가치를 확인하고 감가상각 영역의 구성에 부합하는지 확인하십시오. 거래 AS02 또는 ABZU를 통해 자산 가치 또는 전기를 그에 따라 조정하십시오.,
재무회계 (FI) 및 관리회계 (CO),CK 465,자재 &에 대해 가격을 결정할 수 없습니다.,자재 마스터(거래 MM03)에서 자재 가격 통제 방법을 확인하십시오. 적절한 평가 영역 및 가격 통제 설정에서 가격을 유지 관리하거나 업데이트하십시오.,
재무회계 (FI) 및 관리회계 (CO),KA 002,관리회계 영역 &이 정의되지 않았습니다.,관리회계 영역이 시스템에 존재하고 활성화되어 있는지 확인하십시오. SPRO를 통해 관리회계 영역을 정의하거나 유지 관리하십시오: 관리회계 → 일반 관리회계 → 조직 → 관리회계 영역 유지 관리.,
재무회계 (FI) 및 관리회계 (CO),KD 012,대상 &에 대해 결산 규칙을 찾을 수 없습니다.,"할당 및 결산을 허용하기 위해 관리회계 객체(예: 코스트 센터, 오더)에 대한 결산 규칙을 정의하십시오. 거래 KO02(오더의 경우) 또는 관리회계 마스터 데이터의 적절한 결산 할당을 사용하십시오.",
재무회계 (FI) 및 관리회계 (CO),KO 210,오더 &이 릴리스되지 않았습니다.,전기 또는 결산을 하기 전에 오더를 릴리스하십시오. 거래 KO02 또는 KO88을 사용하여 생산 또는 코스트 오더를 릴리스하십시오.,
재무회계 (FI) 및 관리회계 (CO),FTXP_T004,세금 코드 &이 정의되어 있지 않습니다.,거래 FTXP 또는 SPRO 경로를 통해 국가 및 회사 코드에 대한 세금 코드를 유지 관리하십시오: 재무회계 → 매출/매입 세금 → 기본 설정 → 판매 및 구매에 대한 세금 코드 정의.,
재무회계 (FI) 및 관리회계 (CO),FTXP_T051,세액이 세액 기초와 일치하지 않습니다.,세금 계산 루틴 및 조건 레코드의 정확성을 확인하십시오. 세금 기본 금액과 세금 금액의 일치를 확인하십시오. 필요한 경우 수동으로 조정하거나 마스터 데이터/가격 조건을 수정하십시오.,
재무회계 (FI) 및 관리회계 (CO),TXJ1_INVALID,세금 관할 코드 &이 유효하지 않습니다.,거래 TXJ1 또는 SPRO를 통해 유지 관리되는 세금 관할 코드를 확인하십시오: 재무회계 → 매출/매입 세금 → 기본 설정 → 세금 관할 코드 정의.,
재무회계 (FI) 및 관리회계 (CO),FTXP_CUSTVEND_001,고객/공급업체 &에 대해 세금 코드 &이 허용되지 않습니다.,고객/공급업체 마스터(FD03/FK03)의 세금 분류를 확인하십시오. 고객/공급업체 세금 범주에 허용된 세금 코드를 유지 관리하십시오.,
재무회계 (FI) 및 관리회계 (CO),FTXP_POSTBLOCK,문서 &에 대해 세금 전기가 차단되어 있습니다.,SPRO의 재무회계 → 매출/매입 세금 → 전기 → 세금 전기 활성화에서 문서 유형에 대한 세금 전기 설정을 확인하십시오.,
재무회계 (FI) 및 관리회계 (CO),FTXP_PROC_NOT_FOUND,거래에 대한 세금 절차를 결정할 수 없습니다.,SPRO의 재무회계 → 매출/매입 세금 → 기본 설정 → 국가를 계산 절차에 할당에서 세금 절차 할당을 확인하십시오.,
자재 관리 (MM),M7 001,자재 &이 존재하지 않습니다.,"시스템에 자재 마스터가 존재하는지 거래 MM03을 통해 확인하십시오. 누락된 경우, MM01을 사용하여 자재 마스터 레코드를 생성하거나 올바른 자재 번호 입력이 확인되었는지 확인하십시오.",
자재 관리 (MM),M7 002,이동 유형 &이 불가능합니다.,이동 유형이 자재 및 플랜트에 대해 유효한지 확인하십시오. 이동 유형 또는 OMJJ 거래 또는 구성을 통해 사용자 지정 이동 유형 설정을 조정하십시오.,
자재 관리 (MM),M7 003,전기는 기간 & 및 &에서만 가능합니다.,현재 전기 날짜가 이동 유형에 대해 정의된 유효한 전기 기간 내에 있는지 확인하십시오. MMPV 또는 관련 거래를 통해 전기 기간을 그에 따라 조정하십시오.,
자재 관리 (MM),M7 021,평가 영역 &을 사용할 수 없습니다.,평가 영역이 플랜트/자재에 할당되고 활성화되었는지 확인하십시오. 구성에서 평가 영역을 할당하거나 문서의 입력 데이터를 수정하십시오.,
자재 관리 (MM),M7 022,플랜트 &에 저장 위치 &이 존재하지 않습니다.,"플랜트에 저장 위치가 존재하는지 확인하십시오. 누락된 경우, 거래 OMS2 또는 관련 구성을 사용하여 생성하십시오.",
자재 관리 (MM),M7 044,재고 부족 & & &,"자재에 대한 현재 재고 및 재주문 수준을 확인하십시오. 허용되지 않는 한, 충분한 재고를 확보하거나 음수 재고를 피하기 위해 전기 문서의 수량을 조정하십시오.",
자재 관리 (MM),M7 053,문서 & &이 이미 존재합니다.,중복 문서 번호를 피하십시오. 문서 중복 설정을 확인하고 문서 참조 또는 번호 범위 수정하여 충돌을 해결하십시오.,
자재 관리 (MM),ME 083,구매 조직 &이 존재하지 않습니다.,구매 조직 마스터 데이터 존재 여부 및 올바른 설정을 확인하십시오. 거래 또는 SPRO → 엔터프라이즈 구조를 통해 누락된 구매 조직을 생성하십시오.,
자재 관리 (MM),ME 084,구매 그룹 &이 존재하지 않습니다.,구매 그룹이 시스템에 존재하고 활성화되어 있는지 확인하십시오. IMG 경로를 통해 유지 관리하거나 생성하십시오: 자재 관리 → 구매 → 구매 오더 → 구매 그룹 설정.,
자재 관리 (MM),ME 038,플랜트 &이 회사 코드 &에 할당되지 않았습니다.,엔터프라이즈 구조 구성에서 플랜트가 회사 코드에 올바르게 할당되었는지 확인하십시오. 거래 OX18 또는 SPRO 경로를 통해 플랜트를 회사 코드에 확인하고 할당하십시오: 엔터프라이즈 구조 → 할당 → 물류 실행 → 플랜트를 회사 코드에 할당.,
자재 관리 (MM),ME 079,자재 &에 계정 지정이 필요합니다.,"해당 자재는 거래를 위한 계정 지정이 필요합니다. 구매 문서 또는 자재 마스터에 적절한 계정 지정 범주(예: 코스트 센터, 오더)가 지정되었는지 확인하십시오. 자재 마스터 설정 또는 구매 문서를 검토하고 필요한 계정 지정을 제공하십시오.",
자재 관리 (MM),M3 000,자재 유형 &이 정의되지 않았습니다.,"자재 유형이 시스템에 구성되었는지 확인하십시오. 그렇지 않은 경우, SPRO의 물류 일반 → 자재 마스터 → 키 필드 설정 → 자재 유형 정의 아래에서 자재 유형을 정의하십시오.",
